index,id,toolName,category,tool_en,tool_ja,extendscript,applescript,jxa,minVersion
53,toolName_53,Adobe Direct Lasso Tool,Select 04,Lasso Tool,なげなわ,app.selectTool('Adobe Direct Lasso Tool');,"Select Tool tool name ""Adobe Direct Lasso Tool""",app.selectTool({toolName: 'Adobe Direct Lasso Tool'});,24
54,toolName_54,Adobe Ellipse Shape Tool,Draw 04,Ellipse Tool,楕円形,app.selectTool('Adobe Ellipse Shape Tool');,"Select Tool tool name ""Adobe Ellipse Shape Tool""",app.selectTool({toolName: 'Adobe Ellipse Shape Tool'});,24
55,toolName_55,Adobe Rectangle Shape Tool,Draw 04,Rectangle Tool,長方形,app.selectTool('Adobe Rectangle Shape Tool');,"Select Tool tool name ""Adobe Rectangle Shape Tool""",app.selectTool({toolName: 'Adobe Rectangle Shape Tool'});,24
56,toolName_56,Adobe Magic Wand Tool,Select 03,Magic Wand Tool,自動選択,app.selectTool('Adobe Magic Wand Tool');,"Select Tool tool name ""Adobe Magic Wand Tool""",app.selectTool({toolName: 'Adobe Magic Wand Tool'});,24
57,toolName_57,Adobe Line Tool,Draw 03,Line Segment Tool,直線,app.selectTool('Adobe Line Tool');,"Select Tool tool name ""Adobe Line Tool""",app.selectTool({toolName: 'Adobe Line Tool'});,24
58,toolName_58,Adobe Arc Tool,Draw 03,Arc Tool,円弧,app.selectTool('Adobe Arc Tool');,"Select Tool tool name ""Adobe Arc Tool""",app.selectTool({toolName: 'Adobe Arc Tool'});,24
59,toolName_59,Adobe Rectangular Grid Tool,Draw 03,Rectangular Grid Tool,長方形グリッド,app.selectTool('Adobe Rectangular Grid Tool');,"Select Tool tool name ""Adobe Rectangular Grid Tool""",app.selectTool({toolName: 'Adobe Rectangular Grid Tool'});,24
60,toolName_60,Adobe Polar Grid Tool,Draw 03,Polar Grid Tool,同心円グリッド,app.selectTool('Adobe Polar Grid Tool');,"Select Tool tool name ""Adobe Polar Grid Tool""",app.selectTool({toolName: 'Adobe Polar Grid Tool'});,24
61,toolName_61,Adobe Flare Tool,Draw 04,Flare Tool,フレア,app.selectTool('Adobe Flare Tool');,"Select Tool tool name ""Adobe Flare Tool""",app.selectTool({toolName: 'Adobe Flare Tool'});,24
62,toolName_62,Adobe Warp Tool,Modify 03,Warp tool,ワープ,app.selectTool('Adobe Warp Tool');,"Select Tool tool name ""Adobe Warp Tool""",app.selectTool({toolName: 'Adobe Warp Tool'});,24
63,toolName_63,Adobe New Twirl Tool,Modify 03,Twirl Tool,うねり,app.selectTool('Adobe New Twirl Tool');,"Select Tool tool name ""Adobe New Twirl Tool""",app.selectTool({toolName: 'Adobe New Twirl Tool'});,24
64,toolName_64,Adobe Pucker Tool,Modify 03,Pucker Tool,収縮,app.selectTool('Adobe Pucker Tool');,"Select Tool tool name ""Adobe Pucker Tool""",app.selectTool({toolName: 'Adobe Pucker Tool'});,24
65,toolName_65,Adobe Bloat Tool,Modify 03,Bloat Tool,膨張,app.selectTool('Adobe Bloat Tool');,"Select Tool tool name ""Adobe Bloat Tool""",app.selectTool({toolName: 'Adobe Bloat Tool'});,24
66,toolName_66,Adobe Scallop Tool,Modify 03,Scallop Tool,ひだ,app.selectTool('Adobe Scallop Tool');,"Select Tool tool name ""Adobe Scallop Tool""",app.selectTool({toolName: 'Adobe Scallop Tool'});,24
67,toolName_67,Adobe Cyrstallize Tool,Modify 03,Crystallize Tool,クラウン,app.selectTool('Adobe Cyrstallize Tool');,"Select Tool tool name ""Adobe Cyrstallize Tool""",app.selectTool({toolName: 'Adobe Cyrstallize Tool'});,24
68,toolName_68,Adobe Wrinkle Tool,Modify 03,Wrinkle Tool,リンクル,app.selectTool('Adobe Wrinkle Tool');,"Select Tool tool name ""Adobe Wrinkle Tool""",app.selectTool({toolName: 'Adobe Wrinkle Tool'});,24
